date,"Duration (minutes)"
2019-06-07,6.48248
2019-06-10,7.08816
2019-06-11,7.30895
2019-06-12,6.33249
2019-06-13,2.84293
2019-06-14,5.05773
2019-06-17,3.59798
2019-06-18,6.40497
2019-06-19,5.70752
2019-06-20,5.78938
2019-06-21,4.51014
2019-06-24,2.39302
2019-06-25,4.86231
2019-06-26,5.302
2019-06-27,6.1906
2019-06-28,4.94214
2019-07-01,4.07155
2019-07-02,5.97244
2019-07-03,3.74033
2019-07-04,6.18666
2019-07-05,5.50007
2019-07-08,6.1309
2019-07-09,6.6003
2019-07-10,6.54932
2019-07-11,5.6699
2019-07-12,3.36187
2019-07-15,3.80476
2019-07-16,4.2332
2019-07-17,4.85444
2019-07-18,3.7747
2019-07-19,4.89306
2019-07-22,3.28446
2019-07-23,4.19844
2019-07-24,4.17853
2019-07-25,6.06365
2019-07-26,5.58416
2019-07-29,4.74733
2019-07-30,4.95622
2019-07-31,7.61146
2019-08-01,5.78197
2019-08-02,6.23281
2019-08-05,4.10275
2019-08-06,6.83761
2019-08-07,6.44567
2019-08-08,4.92824
2019-08-09,6.39324
2019-08-12,5.25807
2019-08-13,5.04819
2019-08-14,5.40108
2019-08-15,4.13891
2019-08-16,3.52406
2019-08-19,7.78432
2019-08-20,7.56947
2019-08-21,5.74537
2019-08-22,6.14076
2019-08-23,10.3652
2019-08-26,9.04406
2019-08-27,6.46841
2019-08-28,5.20397
2019-08-29,8.48865
2019-08-30,6.66361
2019-09-02,7.40239
2019-09-03,6.06337
2019-09-04,5.74581
2019-09-05,7.18171
2019-09-06,6.59934
2019-09-09,4.27847
2019-09-10,3.72887
2019-09-11,10.4937
2019-09-13,3.78979
2019-09-16,5.00319
2019-09-17,6.97175
2019-09-18,6.68282
2019-09-19,4.9338
2019-09-23,4.12165
2019-09-24,5.16219
2019-09-25,6.77949
2019-09-26,6.58457
2019-09-27,6.80781
2019-09-30,4.75432
2019-10-01,4.38564
2019-10-02,3.71436
2019-10-03,4.4497
2019-10-04,6.72837
2019-10-07,5.01733
2019-10-08,3.29596
2019-10-09,5.44008
2019-10-10,4.90326
2019-10-11,5.31373
2019-10-14,5.3792
