date,"Duration (minutes)"
2019-06-07,5.72199
2019-06-10,6.96846
2019-06-11,5.74263
2019-06-12,4.45472
2019-06-13,2.54042
2019-06-14,4.2936
2019-06-17,3.24651
2019-06-18,5.83956
2019-06-19,5.23425
2019-06-20,5.24661
2019-06-21,3.91645
2019-06-24,2.10646
2019-06-25,4.37203
2019-06-26,4.7809
2019-06-27,4.44951
2019-06-28,4.36573
2019-07-01,3.64473
2019-07-02,5.47673
2019-07-03,3.47275
2019-07-04,5.69668
2019-07-05,4.84494
2019-07-08,5.67188
2019-07-09,6.33309
2019-07-10,6.3066
2019-07-11,5.32884
2019-07-12,3.11651
2019-07-15,3.46014
2019-07-16,4.06529
2019-07-17,4.2123
2019-07-18,3.42636
2019-07-19,4.49416
2019-07-22,2.96291
2019-07-23,3.70869
2019-07-24,2.89535
2019-07-25,4.21861
2019-07-26,5.06364
2019-07-29,4.32258
2019-07-30,4.44859
2019-07-31,7.04572
2019-08-01,5.54224
2019-08-02,6.07842
2019-08-05,3.85914
2019-08-06,6.4692
2019-08-07,6.08151
2019-08-08,4.42349
2019-08-09,6.04777
2019-08-12,4.04365
2019-08-13,3.56656
2019-08-14,4.18966
2019-08-15,3.87744
2019-08-16,3.24525
2019-08-19,7.37366
2019-08-20,7.07364
2019-08-21,5.36572
2019-08-22,5.63236
2019-08-23,10.0229
2019-08-26,8.34493
2019-08-27,6.13125
2019-08-28,4.75657
2019-08-29,6.47021
